rejected_pathway	killed_by	min_ratio
REACTOME_TRANSLATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.3297770052368448
PUJANA_CHEK2_PCC_NETWORK	GRADE_COLON_AND_RECTAL_CANCER_UP	2.500946748953545
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.08608824764604585
TIEN_INTESTINE_PROBIOTICS_6HR_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.5653733428214602
LEE_LIVER_CANCER_SURVIVAL_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	3.599859727948903
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	GRADE_COLON_AND_RECTAL_CANCER_UP	2.548386694402824
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.1218986036000698
WONG_EMBRYONIC_STEM_CELL_CORE	GRADE_COLON_AND_RECTAL_CANCER_UP	1.7574208451865025
REACTOME_METABOLISM_OF_RNA	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.0773531715214684
LI_AMPLIFIED_IN_LUNG_CANCER	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	2.37794231218603
MARKEY_RB1_ACUTE_LOF_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	1.5194266087884427
FISCHER_DREAM_TARGETS	GRADE_COLON_AND_RECTAL_CANCER_UP	4.184693672441999
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	1.3320653868967873
TARTE_PLASMA_CELL_VS_PLASMABLAST_DN	GRADE_COLON_AND_RECTAL_CANCER_UP	2.0798147673134775
BILANGES_SERUM_RESPONSE_TRANSLATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.20102639633918468
DANG_BOUND_BY_MYC	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	4.572981566362922
REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.2912621285584541
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	GRADE_COLON_AND_RECTAL_CANCER_UP	2.8786836357123664
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	3.3149324229021033
WP_22Q112_DISTAL_CNV	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.4846646326554739
WANG_TUMOR_INVASIVENESS_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	2.1767332269202426
FEVR_CTNNB1_TARGETS_DN	GRADE_COLON_AND_RECTAL_CANCER_UP	2.0950403958092525
JIANG_MELANOMA_TRM8_CD4	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.8470184410691299
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.23865830545092767
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	REACTOME_M_PHASE	2.7519466701229516
HSIAO_HOUSEKEEPING_GENES	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.8237047013820127
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_M_PHASE	0.008485499707838672
REACTOME_VIRAL_INFECTION_PATHWAYS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.0961866061496621
RHODES_UNDIFFERENTIATED_CANCER	GRADE_COLON_AND_RECTAL_CANCER_UP	0.6643259417587735
ANDERSEN_LIVER_CANCER_KRT19_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.5712553196524565
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.4137015019068184
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.22016509676984103
RHODES_CANCER_META_SIGNATURE	GRADE_COLON_AND_RECTAL_CANCER_UP	1.620769796742793
MALONEY_RESPONSE_TO_17AAG_DN	BENPORATH_MYC_MAX_TARGETS	3.327887088709861
BERENJENO_TRANSFORMED_BY_RHOA_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	1.8742948662053973
WEI_MYCN_TARGETS_WITH_E_BOX	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	1.0148295045123543
VECCHI_GASTRIC_CANCER_EARLY_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	1.95606581007707
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	0.019111245906506143
JISON_SICKLE_CELL_DISEASE_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.38155491757967147
VECCHI_GASTRIC_CANCER_EARLY_DN	SABATES_COLORECTAL_ADENOMA_DN	0.6386230995148923
DER_IFN_ALPHA_RESPONSE_UP	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.3590653764375905
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	3.049754459292733
JIANG_MELANOMA_TRM6_CD8	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.083754753045583
MISSIAGLIA_REGULATED_BY_METHYLATION_UP	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	2.2613055822577808
JOHNSTONE_PARVB_TARGETS_3_DN	REACTOME_M_PHASE	4.940131470499924
TIEN_INTESTINE_PROBIOTICS_24HR_UP	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	3.435308324393204
REACTOME_SARS_COV_1_HOST_INTERACTIONS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.23694949724273195
NUYTTEN_EZH2_TARGETS_DN	REACTOME_M_PHASE	2.5271644429581657
HORIUCHI_WTAP_TARGETS_DN	REACTOME_M_PHASE	1.2394528325018572
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	4.536181945317968
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	2.3231469026809286
PATIL_LIVER_CANCER	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	1.1747919678413699
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.4482985792965801
FOURNIER_ACINAR_DEVELOPMENT_LATE_2	GRADE_COLON_AND_RECTAL_CANCER_UP	1.7385224530733516
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.7227429959068417
REACTOME_CELL_CYCLE	REACTOME_M_PHASE	0.02775922367873536
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.238339087485535
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_M_PHASE	0.010885697909222256
REACTOME_INFECTIOUS_DISEASE	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.1960798706440747
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE	0.027212936802588236
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.537346277337986
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	REACTOME_M_PHASE	0.7584199227102497
KEGG_PARKINSONS_DISEASE	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.9374155327530644
WP_NSP1_FROM_SARSCOV2_INHIBITS_TRANSLATION_INITIATION_IN_THE_HOST_CELL	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.05975425586776405
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	1.6612867361732253
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	3.2190781465978118
BROWNE_INTERFERON_RESPONSIVE_GENES	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.07412439551834614
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	REACTOME_MITOCHONDRIAL_TRANSLATION	3.917601449225972
WONG_MITOCHONDRIA_GENE_MODULE	REACTOME_MITOCHONDRIAL_TRANSLATION	1.9312762294681531
BIDUS_METASTASIS_UP	REACTOME_M_PHASE	1.7377696736484145
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	GRADE_COLON_AND_RECTAL_CANCER_UP	3.0103578649198144
NUYTTEN_EZH2_TARGETS_UP	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	1.3602208764633144
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	2.9767775525080045
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	1.5294495728301716
MORI_IMMATURE_B_LYMPHOCYTE_DN	REACTOME_M_PHASE	0.8562847763729744
MISSIAGLIA_REGULATED_BY_METHYLATION_DN	ZHANG_BREAST_CANCER_PROGENITORS_UP	0.7050437712368127
BENPORATH_PROLIFERATION	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	1.0477063970507776
KARLSSON_TGFB1_TARGETS_UP	GRADE_COLON_AND_RECTAL_CANCER_UP	1.2702683794569634
DODD_NASOPHARYNGEAL_CARCINOMA_UP	ZHANG_BREAST_CANCER_PROGENITORS_UP	1.2159899573983401
LUI_THYROID_CANCER_CLUSTER_3	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.8459692094653114
PECE_MAMMARY_STEM_CELL_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.5843392278506141
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	HOUNKPE_HOUSEKEEPING_GENES	3.401643754051519
MOOTHA_VOXPHOS	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.122391064887225
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	3.108119718178038
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	3.1401567625994273
SMID_BREAST_CANCER_NORMAL_LIKE_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.21033019313396928
REACTOME_SIGNALING_BY_GPCR	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	2.380424379743835
PEREZ_TP53_TARGETS	HOUNKPE_HOUSEKEEPING_GENES	1.4839586642764908
REACTOME_MRNA_SPLICING	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.022526967860109694
LUI_TARGETS_OF_PAX8_PPARG_FUSION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.6156333674303924
KEGG_SPLICEOSOME	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.05165248524735847
MOOTHA_HUMAN_MITODB_6_2002	REACTOME_MITOCHONDRIAL_TRANSLATION	0.8154962036694559
REACTOME_MRNA_3_END_PROCESSING	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.03771213251152385
REACTOME_MRNA_POLYADENYLATION	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.05412414192927367
KEGG_OXIDATIVE_PHOSPHORYLATION	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.9599761763978014
BLALOCK_ALZHEIMERS_DISEASE_DN	HOUNKPE_HOUSEKEEPING_GENES	2.510954305510056
MOOTHA_MITOCHONDRIA	REACTOME_MITOCHONDRIAL_TRANSLATION	0.7474636049611009
WALLACE_PROSTATE_CANCER_RACE_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.09884441735064352
REACTOME_COMPLEX_I_BIOGENESIS	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.2790073059096794
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.22179048473964993
TAKAO_RESPONSE_TO_UVB_RADIATION_UP	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	2.56276013765812
SANA_RESPONSE_TO_IFNG_DN	LOPEZ_MBD_TARGETS	2.992189468054205
HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.39176397551347447
KEGG_HUNTINGTONS_DISEASE	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.561000444731658
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	HOUNKPE_HOUSEKEEPING_GENES	2.8576686699688723
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	1.599660842143871
DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	HOUNKPE_HOUSEKEEPING_GENES	2.1827106525447353
MITSIADES_RESPONSE_TO_APLIDIN_DN	ZHANG_BREAST_CANCER_PROGENITORS_UP	2.0934977586465235
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	1.1566485857487916
JIANG_MELANOMA_TRM5_CD8	JIANG_MELANOMA_TRM1_CD8	0.2432172651872989
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	HOUNKPE_HOUSEKEEPING_GENES	3.624075877329434
IRITANI_MAD1_TARGETS_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.2582447792869158
FU_INTERACT_WITH_ALKBH8	IBRAHIM_NRF1_UP	1.1229769706562778
PULVER_FOREY_PERTURB_ATTRITION_M_EG1	PULVER_FOREY_PERTURB_ACCUMULATION_LG1	0.5642553323380741
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.2958107390177447
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION	REACTOME_MITOCHONDRIAL_TRANSLATION	0.029704607037714426
PUJANA_ATM_PCC_NETWORK	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	1.6929957868185037
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.405750192899662
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.3032763141767914
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.434989204742575
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.26182434063248233
GARY_CD5_TARGETS_DN	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	1.1059781365615136
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP	HOUNKPE_HOUSEKEEPING_GENES	1.9962880200170383
IBRAHIM_NRF2_UP	IBRAHIM_NRF1_UP	0.2584220532402807
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.4039140376834967
ACEVEDO_LIVER_CANCER_UP	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.13847449608064885
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	HOUNKPE_HOUSEKEEPING_GENES	2.6621579075255517
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.405750192899662
LUI_THYROID_CANCER_PAX8_PPARG_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.6984939275826656
KEGG_ALZHEIMERS_DISEASE	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.84418806746505
WP_TRANSLATION_FACTORS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.22907265389080048
REACTOME_DENGUE_VIRUS_INFECTION	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.14701472432219156
BHATTACHARYA_EMBRYONIC_STEM_CELL	GRADE_COLON_AND_RECTAL_CANCER_UP	0.9970896458016434
NABA_MATRISOME	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	1.182766767380373
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.4718410626147866
LEE_BMP2_TARGETS_DN	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	1.0095829746463345
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN	HOUNKPE_HOUSEKEEPING_GENES	2.9021817341560734
DAUER_STAT3_TARGETS_DN	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.32390346087185623
BENPORATH_ES_WITH_H3K27ME3	HOUNKPE_HOUSEKEEPING_GENES	2.444496475489474
WP_OXIDATIVE_PHOSPHORYLATION	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.5189963549841634
YOSHIMURA_MAPK8_TARGETS_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	3.8877813929628378
PUJANA_XPRSS_INT_NETWORK	ZHANG_BREAST_CANCER_PROGENITORS_UP	0.731265315657091
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC	IBRAHIM_NRF1_UP	0.7716175837793972
BENPORATH_SUZ12_TARGETS	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	2.267943793305272
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_M_PHASE	0.05516106166521753
MOOTHA_PGC	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.1410241408272666
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	REACTOME_M_PHASE	0.07931186488341903
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	1.1688963987712948
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.15530594858833485
NABA_MATRISOME_ASSOCIATED	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	1.8627041824756712
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.05214614790055283
WP_MRNA_PROCESSING	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.11044094880213885
DEN_INTERACT_WITH_LCA5	JIANG_MELANOMA_TRM1_CD8	2.0696108690609707
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_M_PHASE	0.10267223972619155
BENPORATH_MYC_TARGETS_WITH_EBOX	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	2.596862698250287
ALONSO_METASTASIS_UP	LOPEZ_MBD_TARGETS	0.7320045711396551
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10	HOUNKPE_HOUSEKEEPING_GENES	2.2743981432688827
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	HOUNKPE_HOUSEKEEPING_GENES	4.217709453784022
BENPORATH_PRC2_TARGETS	HOUNKPE_HOUSEKEEPING_GENES	3.041453516758935
MARTENS_TRETINOIN_RESPONSE_UP	HOUNKPE_HOUSEKEEPING_GENES	3.5232721255335053
YU_MYC_TARGETS_UP	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.847044690828275
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2.331910955735555
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	ZHANG_BREAST_CANCER_PROGENITORS_UP	2.8175616840889557
LI_DCP2_BOUND_MRNA	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	4.0819115445566165
ZHANG_INTERFERON_RESPONSE	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.12204781760880576
ONKEN_UVEAL_MELANOMA_UP	JIANG_MELANOMA_TRM3_CD8	3.7555856602029456
MOSERLE_IFNA_RESPONSE	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.2869249465599162
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	REACTOME_MITOCHONDRIAL_TRANSLATION	2.336668573901448
SMID_BREAST_CANCER_LUMINAL_B_DN	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.23553990812068493
LINDGREN_BLADDER_CANCER_CLUSTER_2B	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.07138836871554559
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	HOUNKPE_HOUSEKEEPING_GENES	0.42210477236595556
CAIRO_HEPATOBLASTOMA_DN	HOUNKPE_HOUSEKEEPING_GENES	0.5139838302898415
TIEN_INTESTINE_PROBIOTICS_24HR_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.8867174088750123
DELYS_THYROID_CANCER_DN	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.32374175665744187
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_GPCR_LIGAND_BINDING	0.007898496873967716
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.24202020873480012
ZHANG_RESPONSE_TO_CANTHARIDIN_DN	GRADE_COLON_AND_RECTAL_CANCER_UP	1.2980441012257715
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.13395570056788308
WP_GPCRS_CLASS_A_RHODOPSINLIKE	REACTOME_GPCR_LIGAND_BINDING	0.08670409553301227
BEAUCHAMP_MISS_54_MYRISTOYLATION_INHIBITION_SENSITIVE_SIGNATURE	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.42240838002729064
REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION	HOUNKPE_HOUSEKEEPING_GENES	1.9281825723789399
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	PULVER_FOREY_PERTURB_ACCUMULATION_LG1	1.7994983649227425
POOLA_INVASIVE_BREAST_CANCER_UP	LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	0.21619287483303443
