pathway	consistency	p-value	FDR
REACTOME_REGULATION_OF_CDH1_MRNA_TRANSLATION_BY_MICRORNAS	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH11_FUNCTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	0.0	1.0	1.0
REACTOME_REGULATION_OF_GLYCOLYSIS_BY_FRUCTOSE_2_6_BISPHOSPHATE_METABOLISM	0.0	1.0	1.0
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	0.0	1.0	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	0.0	1.0	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0.0	1.0	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS	0.0	1.0	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.0	1.0	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	0.0	1.0	1.0
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	0.0	1.0	1.0
REACTOME_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_II_CLASSICAL_CADHERINS	0.0	1.0	1.0
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH11_GENE_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_KRAB_ZFP_PROTEINS	0.0	1.0	1.0
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	0.0	1.0	1.0
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS	0.0	1.0	1.0
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	0.0	1.0	1.0
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH1_POSTTRANSLATIONAL_PROCESSING_AND_TRAFFICKING_TO_PLASMA_MEMBRANE	0.0	1.0	1.0
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH1_GENE_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH1_FUNCTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH19_EXPRESSION_AND_FUNCTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_CDH11_MRNA_TRANSLATION_BY_MICRORNAS	0.0	1.0	1.0
REACTOME_RAS_PROCESSING	0.0	1.0	1.0
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	0.0	1.0	1.0
REACTOME_RAP1_SIGNALLING	0.0	1.0	1.0
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.0	1.0	1.0
REACTOME_PROTEIN_HYDROXYLATION	0.0	1.0	1.0
REACTOME_PROTEIN_FOLDING	0.0	1.0	1.0
REACTOME_PROTEASOME_ASSEMBLY	0.0	1.0	1.0
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.0	1.0	1.0
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	0.0	1.0	1.0
REACTOME_PROPIONYL_COA_CATABOLISM	0.0	1.0	1.0
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	0.0	1.0	1.0
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.0	1.0	1.0
REACTOME_PROGRAMMED_CELL_DEATH	0.0	1.0	1.0
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.0	1.0	1.0
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE	0.0	1.0	1.0
REACTOME_PROCESSING_OF_SMDT1	0.0	1.0	1.0
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	0.0	1.0	1.0
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	0.0	1.0	1.0
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.0	1.0	1.0
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.0	1.0	1.0
REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO	0.0	1.0	1.0
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM	0.0	1.0	1.0
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	0.0	1.0	1.0
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.0	1.0	1.0
REACTOME_PREVENTION_OF_PHAGOSOMAL_LYSOSOMAL_FUSION	0.0	1.0	1.0
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.0	1.0	1.0
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	0.0	1.0	1.0
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.0	1.0	1.0
REACTOME_PREGNENOLONE_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_PREDNISONE_ADME	0.0	1.0	1.0
REACTOME_PROTEIN_LIPOYLATION	0.0	1.0	1.0
REACTOME_PROTEIN_LOCALIZATION	0.0	1.0	1.0
REACTOME_PROTEIN_METHYLATION	0.0	1.0	1.0
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	0.0	1.0	1.0
REACTOME_RAF_ACTIVATION	0.0	1.0	1.0
REACTOME_RAC3_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RAC2_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RAC1_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RAB_REGULATION_OF_TRAFFICKING	0.0	1.0	1.0
REACTOME_RAB_GERANYLGERANYLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	0.0	1.0	1.0
REACTOME_PYRUVATE_METABOLISM	0.0	1.0	1.0
REACTOME_PYROPTOSIS	0.0	1.0	1.0
REACTOME_PYRIMIDINE_SALVAGE	0.0	1.0	1.0
REACTOME_PYRIMIDINE_CATABOLISM	0.0	1.0	1.0
REACTOME_PURINE_SALVAGE	0.0	1.0	1.0
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_PURINE_CATABOLISM	0.0	1.0	1.0
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	0.0	1.0	1.0
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1	0.0	1.0	1.0
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES	0.0	1.0	1.0
REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING	0.0	1.0	1.0
REACTOME_PTK6_REGULATES_CELL_CYCLE	0.0	1.0	1.0
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION	0.0	1.0	1.0
REACTOME_PTK6_EXPRESSION	0.0	1.0	1.0
REACTOME_PTEN_REGULATION	0.0	1.0	1.0
REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT	0.0	1.0	1.0
REACTOME_PROTEIN_UBIQUITINATION	0.0	1.0	1.0
REACTOME_PROTEIN_REPAIR	0.0	1.0	1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	0.0	1.0	1.0
ABBUD_LIF_SIGNALING_1_DN	0.0	1.0	1.0
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	0.0	1.0	1.0
REACTOME_RHOV_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOT1_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOQ_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOJ_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOH_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOG_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOF_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOD_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOC_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOB_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOBTB_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOBTB3_ATPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOBTB2_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOBTB1_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHOA_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.0	1.0	1.0
REACTOME_RET_SIGNALING	0.0	1.0	1.0
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK	0.0	1.0	1.0
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.0	1.0	1.0
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS	0.0	1.0	1.0
REACTOME_RESPONSE_TO_METAL_IONS	0.0	1.0	1.0
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	0.0	1.0	1.0
REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	0.0	1.0	1.0
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	0.0	1.0	1.0
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	0.0	1.0	1.0
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_GENOME_REPLICATION_TRANSCRIPTION_AND_TRANSLATION	0.0	1.0	1.0
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY	0.0	1.0	1.0
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY	0.0	1.0	1.0
REACTOME_RHOU_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_CIT	0.0	1.0	1.0
REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION	0.0	1.0	1.0
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.0	1.0	1.0
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1	0.0	1.0	1.0
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	0.0	1.0	1.0
REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	0.0	1.0	1.0
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	0.0	1.0	1.0
REACTOME_RIBAVIRIN_ADME	0.0	1.0	1.0
REACTOME_RHO_GTPASE_EFFECTORS	0.0	1.0	1.0
REACTOME_RHO_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	0.0	1.0	1.0
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	0.0	1.0	1.0
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.0	1.0	1.0
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	0.0	1.0	1.0
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	0.0	1.0	1.0
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	0.0	1.0	1.0
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PD_L1_CD274_TRANSLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PD_L1_CD274_EXPRESSION	0.0	1.0	1.0
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	0.0	1.0	1.0
REACTOME_REGULATION_OF_NPAS4_MRNA_TRANSLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_NPAS4_GENE_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_REGULATION_OF_NPAS4_GENE_EXPRESSION	0.0	1.0	1.0
REACTOME_REGULATION_OF_NF_KAPPA_B_SIGNALING	0.0	1.0	1.0
REACTOME_REGULATION_OF_NFE2L2_GENE_EXPRESSION	0.0	1.0	1.0
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.0	1.0	1.0
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_PIGMENTATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY	0.0	1.0	1.0
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_EXTRACELLULAR_MATRIX_FOCAL_ADHESION_AND_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.0	1.0	1.0
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_DNA_REPLICATION_DAMAGE_REPAIR_AND_SENESCENCE	0.0	1.0	1.0
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_CELL_CYCLE_AND_PROLIFERATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_APOPTOSIS	0.0	1.0	1.0
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY	0.0	1.0	1.0
REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS	0.0	1.0	1.0
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	0.0	1.0	1.0
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	0.0	1.0	1.0
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.0	1.0	1.0
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.0	1.0	1.0
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	0.0	1.0	1.0
REACTOME_REGULATION_OF_IFNG_SIGNALING	0.0	1.0	1.0
REACTOME_REGULATION_OF_PTEN_LOCALIZATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	0.0	1.0	1.0
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION	0.0	1.0	1.0
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.0	1.0	1.0
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.0	1.0	1.0
REACTOME_REPRODUCTION	0.0	1.0	1.0
REACTOME_REPRESSION_OF_WNT_TARGET_GENES	0.0	1.0	1.0
REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	0.0	1.0	1.0
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS	0.0	1.0	1.0
REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL	0.0	1.0	1.0
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.0	1.0	1.0
REACTOME_RELAXIN_RECEPTORS	0.0	1.0	1.0
REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	0.0	1.0	1.0
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS	0.0	1.0	1.0
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	0.0	1.0	1.0
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_TP53_ACTIVITY	0.0	1.0	1.0
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	0.0	1.0	1.0
REACTOME_REGULATION_OF_TBK1_IKK_MEDIATED_ACTIVATION_OF_IRF3_IRF7_UPON_TLR3_LIGATION	0.0	1.0	1.0
REACTOME_REGULATION_OF_TBK1_IKK_IKBKE_MEDIATED_ACTIVATION_OF_IRF3_IRF7	0.0	1.0	1.0
REACTOME_REGULATION_OF_SIGNALING_BY_NODAL	0.0	1.0	1.0
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.0	1.0	1.0
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	0.0	1.0	1.0
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	0.0	1.0	1.0
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	0.0	1.0	1.0
REACTOME_REGULATION_OF_RAS_BY_GAPS	0.0	1.0	1.0
REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	0.0	1.0	1.0
REACTOME_REGULATION_OF_KIT_SIGNALING	0.0	1.0	1.0
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION	0.0	1.0	1.0
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.0	1.0	1.0
REACTOME_NICOTINATE_METABOLISM	0.0	1.0	1.0
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	0.0	1.0	1.0
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING	0.0	1.0	1.0
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.0	1.0	1.0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.0	1.0	1.0
REACTOME_NON_CANONICAL_INFLAMMASOME_ACTIVATION	0.0	1.0	1.0
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	0.0	1.0	1.0
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	0.0	1.0	1.0
REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3	0.0	1.0	1.0
REACTOME_NOD1_2_SIGNALING_PATHWAY	0.0	1.0	1.0
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.0	1.0	1.0
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.0	1.0	1.0
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	0.0	1.0	1.0
REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION	0.0	1.0	1.0
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.0	1.0	1.0
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	0.0	1.0	1.0
REACTOME_NFE2L2_REGULATING_TUMORIGENIC_GENES	0.0	1.0	1.0
REACTOME_NFE2L2_REGULATING_MDR_ASSOCIATED_ENZYMES	0.0	1.0	1.0
